doc_id,prompt,text_id,sentence_id,sentence,coding_id,notes,e/c,relabeling
text103,incident,text103_incident,7,Rape,AB03,,,
text103,perpetrator,text103_perpetrator,1,Stronger male More confident,"PE11, PE20",,,
text103,perpetrator,text103_perpetrator,2,Higher earner,PE10,,,
text103,relationship,text103_relationship,1,In a non - monogamous relationship Not married,RE07,,,
text103,victim,text103_victim,1,Gay man Quiet person Submissive Not confident Geeky,"VI08, VI05, VI03, VI08",,,
text104,incident,text104_incident,1,Punch,AB01,,,
text104,incident,text104_incident,2,Kick Strangulation Property and items broken in aggression,"AB01, AB10, AB05",,,
text104,perpetrator,text104_perpetrator,1,Bully low self esteem Angry Aggressor Intimidating,"PE01, PE06, PE02 PE03, PE03",,,
text104,perpetrator,text104_perpetrator,2,Abusive Lacks control,"AB05, PE02",,,
text104,perpetrator,text104_perpetrator,3,Unpredictable,PE02,,,
text104,relationship,text104_relationship,1,Not balanced Controlled Filled with aggression Lies Mistrust,"RE02, CB01, RE01, RE01, RE01",,,
text104,victim,text104_victim,1,Low self esteem Scared Intimidated Anxious Bullied,"VI03, VI13, VI13, VI13, AB02",,,
text105,incident,text105_incident,1,"physical abuse , hitting , slapping or of a sexual nature","AB01, AB03",,,
text105,perpetrator,text105_perpetrator,1,homosexual man frustrated manipulator,"PE03, MA02",,,
text105,relationship,text105_relationship,1,"married or cohabiting boyfriend casual acquaintance , eg met at a night club","RE04, RE08",,,
text105,victim,text105_victim,1,homosexual male possibly older than the partner or possibly a lot younger,"VI29, VI14",,,
text106,incident,text106_incident,1,Hitting,AB01,,,
text106,perpetrator,text106_perpetrator,1,"Outgoing , strong minded , crafty , greedy","PE08, PE04, MA02, PE05",,,
text106,relationship,text106_relationship,1,Family,RE10,,,
text106,victim,text106_victim,1,"Quiet , weak , introvert , easily influenced","VI08, VI01, VI08, MA03",,,
text107,incident,text107_incident,1,Fights Punches Kicks Throwing stuff,"AB01, AB01, AB01, AB05",,,
text107,perpetrator,text107_perpetrator,1,Drug abuse Violent Manipulative Does n't care,"CI01, PE07, MA02, PE01",,,
text107,relationship,text107_relationship,1,Live together,RE09,,,
text107,relationship,text107_relationship,2,Recluse Introverted,"CI03, CI03",,,
text107,victim,text107_victim,1,Embarrassed Ashamed Scared Mentally drained,"VI04, VI04, VI13, VI10",,,
text108,incident,text108_incident,1,Physical and mental abuse Name calling Aggression,"AB01, AB02, AB02, AB02",,,
text108,perpetrator,text108_perpetrator,1,Two faced Aggressive,"MA02, PE03",,,
text108,perpetrator,text108_perpetrator,2,Domineering Hateful,"PE04, PE01",,,
text108,relationship,text108_relationship,1,Brothers Parent and child Partners Married,"RE10, RE10, RE04",,,
text108,victim,text108_victim,1,Feeling of weakness,VI01,,,
text108,victim,text108_victim,2,Embarrassed,VI04,,,
text108,victim,text108_victim,3,Trapped Scared,"VI13, VI13",,,
text109,incident,text109_incident,1,few incidents,FR02.3,,,
text109,incident,text109_incident,2,but occur when other people get involved in their relationship .,CB02,,,
text109,incident,text109_incident,3,volatile,RE01,,,
text109,perpetrator,text109_perpetrator,1,"outgoing , high confidence , talktative","PE08, PE20, PE08",,,
text109,relationship,text109_relationship,1,"fun , outgoing , enjoy other peoples company as well as their own",RE12,,,
text109,victim,text109_victim,1,"middle class , outgoing , friendly","VI22, VI19, VI09",,,
text11,incident,text11_incident,1,"flare ups , when victim disagrees",AB05,,,
text11,perpetrator,text11_perpetrator,1,"bullish , loud and brash arrogant","PE01, PE08, PE20",,,
text11,relationship,text11_relationship,1,"perpertrator in charge , makes all decisions victim , quiet subordinate , goes along","RE02, VI05, VI08, VI05, VI05",,,
text11,victim,text11_victim,1,quiet introverted shy,"VI08, VI08, VI05",,,
text110,incident,text110_incident,1,Physical abuse Psychological abuse,"AB01, AB02",,,
text110,perpetrator,text110_perpetrator,1,Powerful,PE16,,,
text110,perpetrator,text110_perpetrator,2,In charge Dominant,"PE04, PE04",,,
text110,relationship,text110_relationship,1,Unbalanced Domineering,"RE02, RE02",,,
text110,relationship,text110_relationship,2,Controlling,CB01,,,
text110,victim,text110_victim,1,Submissive Victim Thinks deserves this,"VI05, BL05",,,
text111,incident,text111_incident,1,Quick to anger and lash out at home,AB05,,,
text111,perpetrator,text111_perpetrator,1,A bully Likes to dominate by fear,"PE01, PE04",,,
text111,relationship,text111_relationship,1,controlling Unhappy,"CB01, RE01",,,
text111,victim,text111_victim,1,Maybe from a broken home,VI10,,,
text112,incident,text112_incident,1,Physical Emotional,"AB01, AB02",,,
text112,perpetrator,text112_perpetrator,1,Bully Stronger Aggressive,"PE01, PE11, PE03",,,
text112,relationship,text112_relationship,1,Poor Quality One - sided Manipulative,"RE01, RE02, MA01",,,
text112,victim,text112_victim,1,Submissive Low - self esteem,"VI05, VI03",,,
text113,incident,text113_incident,1,usually sexual slapping punching,"AB03, AB01, AB01",,,
text113,perpetrator,text113_perpetrator,1,probably abused as a child bully spolit,"PE09, PE01, PE05",,,
text113,relationship,text113_relationship,1,living together or married,"RE09, RE04",,,
text113,victim,text113_victim,1,emotional weak,"VI18, VI01",,,
text114,perpetrator,text114_perpetrator,1,Aggressive and a bully .,"PE03, PE01",,,
text114,relationship,text114_relationship,1,Maybe father and son .,RE10,,,
text114,victim,text114_victim,1,Weak and possibly cowardly .,"VI01, VI13",,,
text115,incident,text115_incident,1,If another male was involved may cause violence,"CB02, AB01",,,
text115,perpetrator,text115_perpetrator,1,Overly sensitive Extraverted,"PE02, PE08",,,
text115,relationship,text115_relationship,1,Would appear normal Would be affectionate with each other,"MA06, MA06",,,
text115,victim,text115_victim,1,Sensitive Emotional,"VI18, VI18",,,
text116,incident,text116_incident,1,Psychological/ mental harm .,AB02,,,
text116,incident,text116_incident,2,Occasional violence,"FR02.2, AB01",,,
text116,perpetrator,text116_perpetrator,1,Perfectionist Obsessive Reliant on something ( OCD or alcohol etc ),"CB01, CB09, CI01",,,
text116,relationship,text116_relationship,1,In public full of love Perpetrator clearly the ' masculine ' role,"MA06, GE08",,,
text116,victim,text116_victim,1,Easily swayed Has a small vice that is magnified by perpetrator anxious,"MA03, VI05, VI13",,,
text116,victim,text116_victim,2,Dependent,DE03,,,
text117,incident,text117_incident,1,Starts from an argument Injuries not always visible to person on the street Less common ?,"AB07, AB06, MA06, AB12",,,
text117,perpetrator,text117_perpetrator,1,The more masculine partner Physically violent Bear - like Manipulative,"GE08, AB01, PE11, MA02",,,
text117,perpetrator,text117_perpetrator,2,Gaslighting,MA02,,,
text117,relationship,text117_relationship,1,Unbalanced,RE02,,,
text117,relationship,text117_relationship,2,Untrusting Jealousy and envy,"RE01, CB02, RE01",,,
text117,victim,text117_victim,1,The more effeminate partner Fawn - like Gaslit Manipulated,"GE05, VI01, MA01, MA01",,,
text118,incident,text118_incident,1,Punches Slaps Kicks Rape,"AB01, AB01, AB01, AB03",,,
text118,perpetrator,text118_perpetrator,1,Controlling,CB01,,,
text118,perpetrator,text118_perpetrator,2,Aggressive,PE03,,,
text118,perpetrator,text118_perpetrator,3,Threatening,PE03,,,
text118,relationship,text118_relationship,1,Gay couple,RE04,,,
text118,victim,text118_victim,1,Wants to please partner Nervous of upsetting partner Nice person,"VI05, VI13, VI09",,,
text119,incident,text119_incident,1,"hitting , punching , kicking , workplace bullying","AB01, AB01, AB01, AB02",,,
text119,perpetrator,text119_perpetrator,1,"Bully , physically large , emotionally controlling","PE01, PE11, CB01",,,
text119,relationship,text119_relationship,1,"FFeinds , siblings , work coleaguyes","RE08, RE10, RE08",,,
text119,victim,text119_victim,1,"Physically or mentally weak , cowardly , nervous","VI01, VI15, VI05, VI13",,,
text12,incident,text12_incident,1,sexual abuse physical abuse emotional abuse verbal abuse etc,"AB03, AB01, AB02, AB02",,,
text12,perpetrator,text12_perpetrator,1,""" alpha "" violent / abusive manipulative","GE08, PE07, MA02",,,
text12,relationship,text12_relationship,1,traumatic and stressful bouts of violence,"RE01, AB01",,,
text12,victim,text12_victim,1,weak pathetic sad / afraid,"VI01, GE06, VI10, VI13",,,
text120,incident,text120_incident,1,Verbal Mental torture Bitchy Pick faults,"AB02, AB02, AB12, AB02",,,
text120,perpetrator,text120_perpetrator,1,Bitchy,PE01,,,
text120,perpetrator,text120_perpetrator,2,Controlling Narcissistic,"CB01, PE05",,,
text120,relationship,text120_relationship,1,One alpha male Jealous Really good and really bad,"GE08, CB02, RE01",,,
text120,victim,text120_victim,1,Effeminate Weak Vulnerable,"GE05, VI01, VI01",,,
text121,incident,text121_incident,1,physical assault anger domination verbal abuse,"AB01, AB02, AB02, AB02",,,
text121,perpetrator,text121_perpetrator,1,aggressive macho / bitchy controlling bad tempered,"PE03, GE08, PE01, CB01, PE02",,,
text121,relationship,text121_relationship,1,unequal dominant / submissive tempestuous argumentative unhappy,"RE02, RE01, RE01",,,
text121,victim,text121_victim,1,weak submissive introverted,"VI01, VI05, VI08",,,
text122,incident,text122_incident,1,arguments jealous rages,"FR03, CB02, AB05",,,
text122,perpetrator,text122_perpetrator,1,man,,Exclusion.,e,
text122,relationship,text122_relationship,1,unstable,RE01,,,
text122,victim,text122_victim,1,man,,Exclusion.,e,
text123,incident,text123_incident,1,Physical beatings and shoving .,AB01,,,
text123,incident,text123_incident,2,Threat of violence .,AB02,,,
text123,incident,text123_incident,4,Forced to perform sexual acts against the victim 's will .,AB03,,,
text123,perpetrator,text123_perpetrator,1,Bigger and more aggressive .,"PE11, PE03",,,
text123,perpetrator,text123_perpetrator,2,More masculine .,GE08,,,
text123,relationship,text123_relationship,1,Coercive and manipulative .,"MA01, MA01",,,
text123,relationship,text123_relationship,3,Victim believes he can ' change ' the perpetrator .,VI28,,,
text123,relationship,text123_relationship,5,Possibly an age gap or power imbalance that keeps the victim stuck .,RE02,,,
text123,victim,text123_victim,1,Physically smaller and weaker .,VI15,,,
text123,victim,text123_victim,2,More effiminate .,GE05,,,
text124,incident,text124_incident,1,Slapping Punching,"AB01, AB01",,,
text124,incident,text124_incident,2,Shoving,AB01,,,
text124,perpetrator,text124_perpetrator,1,Alpha,GE08,,,
text124,perpetrator,text124_perpetrator,2,Controlling,CB01,,,
text124,perpetrator,text124_perpetrator,3,Dominant,PE04,,,
text124,relationship,text124_relationship,1,Unfaithful Casual Superficial,"RE11, RE05, RE07, ",,,
text124,victim,text124_victim,1,Effeminate Weak Lacking in confidence,"GE05, VI01, VI03",,,
text125,incident,text125_incident,1,Physical and aggressive .,AB01,,,
text125,incident,text125_incident,3,Generally one sided .,RE02,,,
text125,incident,text125_incident,4,Frightening and unpredictable .,AB02,,,
text125,perpetrator,text125_perpetrator,1,Aggressive .,PE03,,,
text125,perpetrator,text125_perpetrator,3,Dominating .,PE04,,,
text125,perpetrator,text125_perpetrator,4,Violent and unpredictable .,"PE07, PE02",,,
text125,relationship,text125_relationship,1,Extreme highs and lows .,RE01,,,
text125,relationship,text125_relationship,2,Unstable or insecure .,RE01,,,
text125,victim,text125_victim,1,"Quiet , takes a back seat in relationship .","VI08, VI05",,,
text125,victim,text125_victim,2,More feminine .,GE05,,,
text125,victim,text125_victim,4,Gentler .,VI09,,,
text126,incident,text126_incident,1,Quite posssibly,,,,
text126,perpetrator,text126_perpetrator,1,Controlling Violent Agressive,"CB01, PE07, PE03",,,
text126,relationship,text126_relationship,1,Unbalanced,RE02,,,
text126,relationship,text126_relationship,2,Unstable,RE01,,,
text126,victim,text126_victim,1,Low self esteem,VI03,,,
text126,victim,text126_victim,2,Lack of confidence,VI03,,,
text127,incident,text127_incident,1,Prolonged threats erupting suddenly .,AB02,,,
text127,incident,text127_incident,2,"Violent , uses weapons , vigorous and une pected","AB01, AB10, AB01, AB02",,,
text127,perpetrator,text127_perpetrator,1,"Coercive , controlling , belittling , threatening without violence to unsettle partner , , seem to care ,","MA02, CB01, AB02, AB02, MA06",,,
text127,relationship,text127_relationship,1,"Tense , dependent on one partner tryigngto defuse other 's aggression , one sided , uncertain , scary","RE01, DE01, RE02, RE01, RE01",,,
text127,victim,text127_victim,1,"Sensitive , unsure , eager to Ease , little support from fami , y and friends , scared of being a.ome","VI18, VI05, VI05, VI02, VI28",,,
text128,incident,text128_incident,1,"Punches , kicks , slaps , choking , phone tracking , social media surveillance , diet restrictions","AB01, AB01, AB01, AB10, CB05, CB05, CB01",,,
text128,perpetrator,text128_perpetrator,1,"More experience as a gay man , experienced infidelity in the past , likely experienced violence in the past , jealous , angry , physically stronger , bigger social circle","PE25, CB02, PE09, CB02, PE02, PE11, PE08",,,
text128,relationship,text128_relationship,1,"Married or co - habituating , big age gaps , no kids involved","RE04, RE09, RE02, CI04",,,
text128,victim,text128_victim,1,"Older in age or the one with the least experience as a gay man , introverted , shorter","VI29, VI06, VI08, VI15",,,
text129,incident,text129_incident,1,"Physical abuse ( hitting , restraint )","AB01, AB04",,,
text129,incident,text129_incident,2,Controlling behaviour Emotional abuse,"CB01, AB02",,,
text129,incident,text129_incident,3,Psychological abuse,AB02,,,
text129,perpetrator,text129_perpetrator,1,Scared of being alone,PE06,,,
text129,perpetrator,text129_perpetrator,2,Lacking self confidence,PE06,,,
text129,perpetrator,text129_perpetrator,3,Arrogant Proud,"PE20, PE20",,,
text129,relationship,text129_relationship,1,Traditional partnership or marriage,RE04,,,
text129,relationship,text129_relationship,2,Mid to long term,RE04,,,
text129,victim,text129_victim,1,Lacking self confidence Scared of being alone Nervous Scared of losing face,"VI03, VI28, VI13, VI04",,,
text129,victim,text129_victim,2,Loyal,VI28,,,
text13,incident,text13_incident,1,quite a lot i think as both male,FR01,,,
text13,perpetrator,text13_perpetrator,1,"male husband or partner , unusual","RE04, GE06",,,
text13,relationship,text13_relationship,1,"married , long term",RE04,,,
text13,victim,text13_victim,1,male husband partner,RE04,,,
text130,incident,text130_incident,1,fighting after sex,AB05,,,
text130,perpetrator,text130_perpetrator,1,"Not convinced straight pretending guy , afraid to express feelings .",GE07.1,,,
text130,relationship,text130_relationship,1,"abusive , friends , gym mates","AB05, RE08, RE08",,,
text130,victim,text130_victim,1,"Soft person , in love , dreaming at the wrong person","VI01, VI28, VI28",,,
text131,incident,text131_incident,1,yes,,,,
text131,perpetrator,text131_perpetrator,1,wrongdoing,,,,
text131,relationship,text131_relationship,1,colleague,RE08,,,
text131,victim,text131_victim,1,fear,VI13,,,
text132,incident,text132_incident,1,Most likely sexual,AB03,,,
text132,perpetrator,text132_perpetrator,1,Strong Older Secretly gay,"PE11, PE15, GE07.1",,,
text132,relationship,text132_relationship,1,Friends or gay relationship,"RE08, RE04",,,
text132,victim,text132_victim,1,Smaller and weaker than the perpetrator,VI15,,,
text132,victim,text132_victim,2,Maybe younger ' Camp ' Gay Promiscuous,"VI14, GE05, VI17",,,
text133,incident,text133_incident,1,"A man physically abusing another , perhaps punching or kicking as that is quite a typically masculine action .",AB01,,,
text133,incident,text133_incident,2,"Being quite forceful , gory .","AB05, AB01",,,
text133,perpetrator,text133_perpetrator,1,"Muscly and Brutish Tall Aggressive , Facial hair and masculine looking , overbearing","PE11, PE11, PE03, GE08, PE04",,,
text133,relationship,text133_relationship,1,One being quite overbearing and the other being subservient or submissive .,RE02,,,
text133,relationship,text133_relationship,2,Perhaps one being taller and the other being shorter .,VI15,,,
text133,victim,text133_victim,1,"Weak Thin and Small , typically masculine looking","VI01, VI15, GE04",,,
text134,incident,text134_incident,1,"Punching and kicking , throwing things","AB01, AB01, AB05",,,
text134,perpetrator,text134_perpetrator,1,They may be physically violent to another male and try to be more dominant .,"AB01, PE04",,,
text134,perpetrator,text134_perpetrator,2,They will dislike it if the victim has a strong opinion they do n't agree with .,PE04,,,
text134,perpetrator,text134_perpetrator,3,They may be likely to shout .,PE03,,,
text134,relationship,text134_relationship,1,It might be good sometimes,RE01,,,
text134,relationship,text134_relationship,2,"and then it will take one little thing to escalate into a mess , it might become a shouting match with possible violence .","AB02, AB01",,,
text134,victim,text134_victim,1,"They may be quiet and reserved , but in an argument as they are a man they might lean on being violent against another man as it is more socially acceptable .","VI08, VI08, BL04, GE06",,,
text135,incident,text135_incident,1,"' - less likely to be physical - coercive behaviour / controlling partners money , who they see , etc","AB02, CB01, CB06, CB04",,,
text135,perpetrator,text135_perpetrator,1,emotionally manipulative unpredictable behaviour outbursts of anger physically stronger / bigger,"MA02, PE02, PE02, PE11",,,
text135,relationship,text135_relationship,1,' - tense - isolated from friends and family - emotional blackmail,"RE01, CI03, MA01",,,
text135,victim,text135_victim,1,vulnerable non - confrontational wanting to please partner to prevent anger isolated,"VI01, VI05, VI05, VI02",,,
text136,incident,text136_incident,1,Abuser fears victim leaving him Lashes out with alcohol,"PE06, CI01",,,
text136,perpetrator,text136_perpetrator,1,More camp of the two Social butterfly Works hard,"GE05, VI08, VI22",Confused? Coded as victim. ,c,v_recode
text136,relationship,text136_relationship,1,Generally good Both work hard,RE12,,,
text136,victim,text136_victim,1,Butch Works out Funny,"GE08, PE11, PE08",Confused? Coded as perpetrator. ,c,p_recode
text137,incident,text137_incident,1,"Punching Throwing things ,","AB01, AB05",,,
text137,incident,text137_incident,2,Gaslighting,MA01,,,
text137,incident,text137_incident,3,Victim Blaming,BL01,,,
text137,incident,text137_incident,4,Controlling the victim .,CB01,,,
text137,perpetrator,text137_perpetrator,1,Larger in stature Louder when speaking .,"PE11, PE08",,,
text137,perpetrator,text137_perpetrator,2,Talks over partner .,PE05,,,
text137,perpetrator,text137_perpetrator,3,Talks for partner .,CB01,,,
text137,perpetrator,text137_perpetrator,4,Visibly controls partner .,CB01,,,
text137,relationship,text137_relationship,1,Dominating .,CB01,,,
text137,relationship,text137_relationship,3,Gaslighting .,MA01,,,
text137,relationship,text137_relationship,4,One - sided .,RE02,,,
text137,relationship,text137_relationship,5,Controlling .,CB01,,,
text137,relationship,text137_relationship,7,"Friendly in public , but in private , not at all so .",MA06,,,
text137,victim,text137_victim,1,Withdrawn .,VI08,,,
text137,victim,text137_victim,2,Maybe smaller ( but not necessarily ) .,VI15,,,
text137,victim,text137_victim,3,Has no friends .,VI02,,,
text137,victim,text137_victim,4,"Does not go out , or keeps to oneself .","VI02, VI08",,,
text138,incident,text138_incident,1,"sexual abuse , physical abuse and emotional abuse , Coercive control , shouting , intimidation , threats","AB03, AB01, AB02, CB01, AB02, AB02, AB02",,,
text138,perpetrator,text138_perpetrator,1,"Bully , shouting , strong , no friends , controlling , manipulating , threatening ,","PE01, AB02, PE11, PE18, CB01, MA02, PE03",,,
text138,relationship,text138_relationship,1,"loving at times and violent in turn , manipulative , co - dependant , unequal ,","RE01, MA01, DE02, RE02",,,
text138,victim,text138_victim,1,"effeminate , scared , worried , isolated , controlled , manipulated","GE05, VI13, VI13, VI02, CB01, MA01",,,
text139,incident,text139_incident,1,Punches Stabbing shooting,"AB01, AB10, AB10",,,
text139,perpetrator,text139_perpetrator,1,Younger Stronger Dominant,"PE24, PE11, PE04",,,
text139,relationship,text139_relationship,1,Toxic Enabling,RE01,,,
text139,victim,text139_victim,1,Older Smaller Submissive,"VI29, VI15, VI05",,,
text14,incident,text14_incident,1,Taking pranks too far,AB12,,,
text14,perpetrator,text14_perpetrator,1,Friendly,PE08,,,
text14,relationship,text14_relationship,1,Friends,RE08,,,
text14,victim,text14_victim,1,Alone,VI02,,,
text140,incident,text140_incident,1,Highly intense .,AB09,,,
text140,incident,text140_incident,2,Physical and verbal .,"AB01, AB02",,,
text140,perpetrator,text140_perpetrator,1,Manipulative .,MA02,,,
text140,perpetrator,text140_perpetrator,3,Agressive .,PE03,,,
text140,perpetrator,text140_perpetrator,4,Vioent .,PE07,,,
text140,relationship,text140_relationship,1,Intense .,RE01,,,
text140,relationship,text140_relationship,2,Power hierarchy .,RE02,,,
text140,victim,text140_victim,1,Defenceless .,VI13,,,
text140,victim,text140_victim,3,Low self esteem .,VI03,,,
text140,victim,text140_victim,5,Reliant .,DE03,,,
text141,incident,text141_incident,1,"Aggressive , alcohol involved , punching","AB02, CI01, AB01",,,
text141,perpetrator,text141_perpetrator,1,"Loud , aggressive , dominant","PE08, PE03, PE04",,,
text141,relationship,text141_relationship,1,The victim has taken the more traditionally female role in the relationship,GE05,,,
text141,victim,text141_victim,1,"Quiet , submissive","VI08, VI05",,,
text142,incident,text142_incident,1,Emotional abuse Controlling Gas lighting,"AB02, CB01, MA01",,,
text142,incident,text142_incident,2,Physical,AB01,,,
text142,perpetrator,text142_perpetrator,1,Sly Nice to everyone Always happy to please everyone on the surface,"PE08, PE08, MA06",,,
text142,relationship,text142_relationship,1,Very affectionate Outwardly happy and look,"RE12, MA06",,,
text142,relationship,text142_relationship,2,perfect match Always happy,RE12,,,
text142,victim,text142_victim,1,Always trying to please Mindful of what they say or do Apologises for everything or nothing,"VI05, VI13, VI05",,,
text143,incident,text143_incident,1,Physical Emotional Sexual,"AB01, AB02, AB03",,,
text143,perpetrator,text143_perpetrator,1,controlling,CB01,,,
text143,perpetrator,text143_perpetrator,2,Manipulative egocentric,"MA02, PE05",,,
text143,relationship,text143_relationship,1,Father brother Partner Authority figure,"RE08, RE04, RE08",,,
text143,victim,text143_victim,1,Eager to please Walking on egg shells Anxious,"VI05, VI13, VI13",,,
text144,incident,text144_incident,1,gradual,AB11,,,
text144,perpetrator,text144_perpetrator,1,weak,PE22,,,
text144,relationship,text144_relationship,1,toxic,RE01,,,
text144,victim,text144_victim,1,weak,VI01,,,
text145,incident,text145_incident,1,"perpetrator punishes victim for every little mistake , hurts them both emotionally and physically , destroys there confidence and makes them feel worthless .","AB02, AB01, AB02, AB02",,,
text145,incident,text145_incident,2,Has violent sex which hurts but tells them they deserve it .,"AB03, BL06",,,
text145,perpetrator,text145_perpetrator,1,Tough both mentally and physically .,"PE16, PE11",,,
text145,perpetrator,text145_perpetrator,2,Strong willed .,PE04,,,
text145,perpetrator,text145_perpetrator,3,Determined .,PE16,,,
text145,relationship,text145_relationship,1,"perpetrator controls life of victim in every sense , makes them feel small , puts them down , makes them feel worthless .","CB01, AB02, AB02",,,
text145,victim,text145_victim,1,"Small weak person , low on confidence , low self esteem , powerless .","VI15, VI03, VI03, VI13",,,
text145,victim,text145_victim,2,Wanting to please at any cost .,VI05,,,
text146,incident,text146_incident,1,"controlling the victim , humiliating victim , physical abuse to areas that clothes cover","CB01, AB02, AB01, MA06",,,
text146,perpetrator,text146_perpetrator,1,"Gift of the gab , inflated self opinion","MA02, PE20",,,
text146,relationship,text146_relationship,1,"emotional abuse , appears to be normal relationship from the outside","AB02, MA06",,,
text146,victim,text146_victim,1,"small frame , feminine mannerisms , stutter , low self esteem","VI15, GE05, VI13, VI03",,,
text147,incident,text147_incident,1,A lack of compassion and empathy not seen .,AB02,,,
text147,perpetrator,text147_perpetrator,1,Controlling .,CB01,,,
text147,perpetrator,text147_perpetrator,2,Domineering .,PE04,,,
text147,perpetrator,text147_perpetrator,3,A sense of in control and wanting to know when and where his partner is at all times .,"CB01, CB03",,,
text147,relationship,text147_relationship,1,Toxic .,RE01,,,
text147,relationship,text147_relationship,2,Dark .,RE01,,,
text147,relationship,text147_relationship,3,Unsettling .,RE01,,,
text147,relationship,text147_relationship,4,Uneasy .,RE01,,,
text147,victim,text147_victim,1,Weaker mentally and physically .,"VI01, VI15",,,
text147,victim,text147_victim,2,Psychological damage to the person .,VI10,,,
text147,victim,text147_victim,3,Feel ashamed and becoming more withdrawn from the gay community .,"VI04, VI02",,,
text147,victim,text147_victim,4,Less sociable .,VI02,,,
text148,incident,text148_incident,1,"Hitting , physical abuse","AB01, AB01",,,
text148,perpetrator,text148_perpetrator,1,"Violent , strong , evil","PE07, PE11, PE01",,,
text148,relationship,text148_relationship,1,Dating,RE06,,,
text148,victim,text148_victim,1,"Weak , helpless","VI01, VI13",,,
text149,incident,text149_incident,1,Threats of violence .,AB02,,,
text149,incident,text149_incident,2,Sex under duress .,AB03,,,
text149,incident,text149_incident,3,Severe emotional abuse .,AB02,,,
text149,perpetrator,text149_perpetrator,1,Brash and loud .,PE08,,,
text149,perpetrator,text149_perpetrator,2,Short - tempered and overly - dramatic .,"PE02, PE02",,,
text149,perpetrator,text149_perpetrator,3,Acerbic wit .,PE01,,,
text149,perpetrator,text149_perpetrator,4,Lazy and demanding .,PE05,,,
text149,relationship,text149_relationship,1,Seems great in public .,MA06,,,
text149,relationship,text149_relationship,2,Much more dysfunctional in private .,MA06,,,
text149,relationship,text149_relationship,3,Issues with monogamy .,RE11,,,
text149,victim,text149_victim,1,Effeminate .,GE05,,,
text149,victim,text149_victim,2,Physically smaller .,VI15,,,
text149,victim,text149_victim,3,House proud and tidy .,GE05,,,
text149,victim,text149_victim,4,A reserved personality .,VI08,,,
text15,incident,text15_incident,1,"punching , breaking items of the other persons","AB01, AB02",,,
text15,perpetrator,text15_perpetrator,1,"conifdent , loud , charming , assertive","PE20, PE08, PE08, PE04",,,
text15,relationship,text15_relationship,1,gay,,,,
text15,victim,text15_victim,1,"unconfident , unsure of themselves , cut off from friends and family","VI03, VI03, VI02",,,
text150,incident,text150_incident,1,Financial transactions Mistrust Political rivalry,,Exclusion.,e,
text150,perpetrator,text150_perpetrator,1,aggressive Insensitive behaviour Revengeful,"PE03, PE01, PE01",,,
text150,relationship,text150_relationship,1,Friends Colleagues Relatives,"RE08, RE08, RE10",,,
text150,victim,text150_victim,1,trust broken helpless furious,"VI10, VI13, VI16",,,
text151,incident,text151_incident,1,Severely violent,AB09,,,
text151,perpetrator,text151_perpetrator,1,Insecure Fragile ego Promiscuous,"PE06, PE06, PE17",,,
text151,relationship,text151_relationship,1,"Fragile , easily broken Abusive from both sides","RE01, RE01, BL04",,,
text151,victim,text151_victim,1,Dependant on partner Insecure and weak,"DE03, VI03, VI01",,,
