doc_id,prompt,text_id,sentence_id,sentence,coding_id,notes,e/c,relabeling
text104,victim,text104_victim,1,Timid Age difference Unemployed or lack of education,"VI05, VI14, CI02",,,
text104,victim,text104_victim,2,Lack of confidence,VI03,,,
text104,victim,text104_victim,3,Low self esteem,VI03,,,
text104,victim,text104_victim,4,Lack of friendships Lack of intimate relationships,"VI02, VI02",,,
text104,victim,text104_victim,5,Wanting to be part of a group,VI02,,,
text105,incident,text105_incident,1,"physical abuse , hitting , violence financial abuse , possibly","AB01, CB06, ",,,
text105,perpetrator,text105_perpetrator,1,the woman in a lesbian relationship,GE09,Exclusion.,e,
text105,relationship,text105_relationship,1,co - habiting or married or civil partners could also just be girlfriends,"RE09, RE04",,,
text105,victim,text105_victim,1,the woman in a lesbian relationship,GE05,Exclusion.,e,
text106,incident,text106_incident,1,"Name calling , slapping , scratching , hair pulling , rumours","AB02, AB01, AB13, AB13, AB02",,,
text106,perpetrator,text106_perpetrator,1,"Argumentative , strong willed , jealousy","PE04, PE04, CB02",,,
text106,relationship,text106_relationship,1,"Love , family , wedding","RE12, RE04",,,
text106,victim,text106_victim,1,"Weak , timid , scared","VI01, VI05, VI13",,,
text107,incident,text107_incident,1,Punching other Mentally torturing Throwing things,"AB01, AB02, AB05",,,
text107,incident,text107_incident,2,Manipulative,MA01,,,
text107,perpetrator,text107_perpetrator,1,Drug or alcohol abuse Bully Does n't care about anything,"CI01, PE01, PE05",,,
text107,perpetrator,text107_perpetrator,2,No or little work Has next to no friends or family,"CI02, PE18",,,
text107,relationship,text107_relationship,1,Toxic,RE01,,,
text107,relationship,text107_relationship,2,On and off Live together,"RE01, RE09",,,
text107,victim,text107_victim,1,Mental health issues Low self confidence,"VI10, VI03",,,
text107,victim,text107_victim,2,Views herself negatively Believes she can change the other person Scared to speak up,"VI03, VI28, VI13",,,
text108,incident,text108_incident,1,Physical and verbal abuse Hitting Name calling,"AB01, AB02, AB01, AB02",,,
text108,incident,text108_incident,2,Shaming,AB02,,,
text108,perpetrator,text108_perpetrator,1,Hateful Domineering,"PE01, PE04",,,
text108,perpetrator,text108_perpetrator,2,Abusive Aggressive,"AB05, PE03",,,
text108,relationship,text108_relationship,1,Married Partners Sisters Parent and child,"RE04, RE10", ,,
text108,victim,text108_victim,1,Confused Scared,"VI17, VI13",,,
text108,victim,text108_victim,2,Trapped,VI13,,,
text109,incident,text109_incident,1,incidents occur when they are drunk,CI01,,,
text109,perpetrator,text109_perpetrator,1,"loud , low self esteem , poorly educated ,","PE08, PE06, CI02",,,
text109,relationship,text109_relationship,1,poor relationship at times but can be good for the majority .,RE01,,,
text109,relationship,text109_relationship,2,Lots of regrets between the couple .,RE01,,,
text109,victim,text109_victim,1,"loud , outspoken , brash , fearful","VI19, VI16, VI16, VI13",,,
text11,incident,text11_incident,1,aggression towards victim incited by conflict,AB05,,,
text11,perpetrator,text11_perpetrator,1,aggressive loud dominating,"PE03, PE08, PE04",,,
text11,relationship,text11_relationship,1,"one person dominating the other , caring relationshop","RE02, RE12",,,
text11,victim,text11_victim,1,soft and quiet caring gentle,"VI09, VI08, VI09, VI09",,,
text110,incident,text110_incident,1,"Psychological - jealous , controlling","AB02, CB02, CB01",,,
text110,perpetrator,text110_perpetrator,1,Controlling Angry Jealous,"CB01, PE02, CB02",,,
text110,relationship,text110_relationship,1,Fractious Uneven,"RE01, RE02",,,
text110,victim,text110_victim,1,Meek Submissive Comes from an abusive upbringing,"VI05, VI05, VI11",,,
text111,incident,text111_incident,1,violent and explosive,"AB01, AB02",,,
text111,perpetrator,text111_perpetrator,1,Controlling Bullying Butch,"CB01, PE01, GE08",,,
text111,relationship,text111_relationship,1,one sided,RE02,,,
text111,victim,text111_victim,1,Embarrassed,VI04,,,
text111,victim,text111_victim,2,Shy,VI05,,,
text112,incident,text112_incident,1,Physical Emotional manipulation,"AB01, MA01",,,
text112,perpetrator,text112_perpetrator,1,Stronger Rude,"PE11, PE01",,,
text112,relationship,text112_relationship,1,Poor quality One - sided Manipulative,"RE01, RE02, MA01",,,
text112,victim,text112_victim,1,Submissive Self - concious weak - willed,"VI05, VI03, VI05",,,
text113,incident,text113_incident,1,pushing pinching slapping,"AB01, AB13, AB01",,,
text113,perpetrator,text113_perpetrator,1,butch fat short hair,"GE08, PE11, GE08",,,
text113,relationship,text113_relationship,1,living together,RE09,,,
text113,victim,text113_victim,1,small pretty shy,"VI15, VI05",,,
text114,incident,text114_incident,1,Fighting .,AB05,,,
text114,incident,text114_incident,2,Beating .,AB01,,,
text114,incident,text114_incident,3,Hitting with objects .,AB01,,,
text114,incident,text114_incident,4,Throwing things .,AB05,,,
text114,perpetrator,text114_perpetrator,1,An aggressive and butch woman .,"PE03, GE08",,,
text114,perpetrator,text114_perpetrator,2,A bully and a narcissist .,"PE01, PE05",,,
text114,relationship,text114_relationship,1,I do n't know .,,,,
text114,victim,text114_victim,1,She should be able to defend herself from a fellow woman .,BL03,,,
text115,incident,text115_incident,1,Violent when the victim does n't do something correctly,AB01,,,
text115,incident,text115_incident,2,The perpetrator under the influence,CI01,,,
text115,incident,text115_incident,3,Having a bad day may lead to violence Victim engages in conversation with someone else .,"AB01, CB04",,,
text115,incident,text115_incident,4,Sexual violence,AB03,,,
text115,perpetrator,text115_perpetrator,1,Appears completely normal,MA06,,,
text115,perpetrator,text115_perpetrator,2,Outgoing Affectionate to other half(due to guilt etc ),"PE08, MA04",,,
text115,perpetrator,text115_perpetrator,3,Easily triggered,PE02,,,
text115,relationship,text115_relationship,1,Hostile Victim always walking on egg shells,"RE01, VI13",,,
text115,relationship,text115_relationship,2,Tense,RE01,,,
text115,victim,text115_victim,1,Anxious and on edge Quiet and introvert Making excuses for things,"VI13, VI08, BL01",,,
text115,victim,text115_victim,2,Emotional,VI17,,,
text116,incident,text116_incident,1,Psychological mind games,AB02,,,
text116,perpetrator,text116_perpetrator,1,"Reserved , introvert , jealous","PE19, PE19, CB02",,,
text116,relationship,text116_relationship,1,One dominant ; more friend relationship than focused on sex,"RE02, RE08",,,
text116,victim,text116_victim,1,"outgoing , friendly , sociable","VI19, VI09, VI19",,,
text117,incident,text117_incident,1,Terrifying Worrying,,"No description, just opinion…",e,
text117,incident,text117_incident,2,Frightening,,Exclusion.,e,
text117,perpetrator,text117_perpetrator,1,Bossy Coercive the ' male ' of the partners,"PE04, MA02, GE08",,,
text117,perpetrator,text117_perpetrator,2,Manipulative Scheming,"MA02, MA02",,,
text117,relationship,text117_relationship,1,Unbalanced,RE02,,,
text117,relationship,text117_relationship,2,Untrusting,RE01,,,
text117,relationship,text117_relationship,3,Unloving ( to an extent ),RE01,,,
text117,victim,text117_victim,1,The ' female ' of the partners Weak Abused,"GE05, VI01, AB05",,,
text117,victim,text117_victim,2,Gaslit,MA02,,,
text118,incident,text118_incident,1,Slaps throws objects Scalds,"AB01, AB05, AB01",,,
text118,perpetrator,text118_perpetrator,1,Aggressive Judgemental critical,"PE03, PE01, PE01",,,
text118,relationship,text118_relationship,1,Lesbian couple,,,,
text118,victim,text118_victim,1,Wants to please Tries to not upset partner paranoid,"VI05, VI13",,,
text119,incident,text119_incident,1,Emotional control,AB02,,,
text119,perpetrator,text119_perpetrator,1,"mean , physically large , bully , controlling","PE01, PE11, PE01, CB01",,,
text119,relationship,text119_relationship,1,Friendship / intimate,"RE08, RE05",,,
text119,victim,text119_victim,1,"Weak character , easily led , timid , physically fragile","VI01, VI05, VI05, VI15",,,
text12,incident,text12_incident,1,physical abuse emotional / verbal abuse sexual abuse,"AB01, AB02, AB03",,,
text12,perpetrator,text12_perpetrator,1,used as anti lgbt propaganda violent manipulative,"GE07.1, PE07, MA02",,,
text12,relationship,text12_relationship,1,violent / abusive up and down intense love and intense hate should nt be together,"AB01, RE01, RE01",,,
text12,victim,text12_victim,1,scared punished for being gay afraid / timid etc,"VI13, BL03, VI13, VI05",,,
text120,incident,text120_incident,1,"Physical Mental - name calling , picking fault","AB01, AB02",,,
text120,perpetrator,text120_perpetrator,1,Stronger Bully,"PE11, PE01",,,
text120,perpetrator,text120_perpetrator,2,Annoyed Alpha,"PE01, GE08",,,
text120,relationship,text120_relationship,1,Controlling Unbalanced,"CB01, RE02",,,
text120,victim,text120_victim,1,Scared Embarrassed,"VI13, VI04",,,
text120,victim,text120_victim,2,Guilty Meek Believes it â€™s their fault,"BL01, VI05, BL05",,,
text121,incident,text121_incident,1,Hitting Coercive control Physical abuse,"AB01, CB01, AB01",,,
text121,perpetrator,text121_perpetrator,1,aggressive butch low educated domineering controlling aggressive,"PE03, GE08, CI02, PE04, CB01",,,
text121,relationship,text121_relationship,1,Unequal Dominant / subservient controlled Abusive Financial control,"RE02, RE02, CB01, AB05, CB06",,,
text121,relationship,text121_relationship,2,Controlling external relationships,CB04,,,
text121,victim,text121_victim,1,weak vulnerable low educated subservient Submissive ashamed introverted,"VI01, VI01, CI02, VI05, VI05, VI04, VI08",,,
text122,incident,text122_incident,1,jealous rages arguments pushing rough sex,"CB02, AB02, AB01, AB03",Confused. Combine with mf answers.,c,mf_combine
text122,perpetrator,text122_perpetrator,1,man dismissive critical jealous,"GE08, PE01, PE01, CB02",Confused. Combine with mf answers.,c,mf_combine
text122,relationship,text122_relationship,1,fiery troubled one - sided,"RE01, RE01, RE02",Confused. Combine with mf answers.,c,mf_combine
text122,victim,text122_victim,1,woman confident loving trusting,"GE05, VI20, VI09, VI09",Confused. Combine with mf answers.,c,mf_combine
text123,incident,text123_incident,1,Physcological abuse and manipulation .,"AB02, MA01",,,
text123,incident,text123_incident,2,Intimate violence and humiliation .,"AB03, AB02",,,
text123,perpetrator,text123_perpetrator,1,Physically larger .,PE11,,,
text123,perpetrator,text123_perpetrator,2,"Louder , more extroverted and confident .","PE08, PE08, PE20",,,
text123,perpetrator,text123_perpetrator,3,More masculine .,GE08,,,
text123,relationship,text123_relationship,1,"Abusive and controlling , limit victim 's access to friends or support .","AB05, CB01, CB04",,,
text123,victim,text123_victim,1,Physically smaller and weaker .,VI15,,,
text123,victim,text123_victim,2,"More introverted ( fewer friends , less outgoing , etc . ) .","VI08, VI02",,,
text123,victim,text123_victim,3,More feminine .,GE05,,,
text124,incident,text124_incident,1,Pushing,AB01,,,
text124,incident,text124_incident,2,Shoving Slapping,"AB01, AB01",,,
text124,perpetrator,text124_perpetrator,1,Masculine Strong Jealous,"GE08, PE11, CB02",,,
text124,relationship,text124_relationship,1,Unstable One sided Casual,"RE01, RE02, RE07",,,
text124,victim,text124_victim,1,Flirty Attractive Feminine,"VI27, VI21, GE05",,,
text125,incident,text125_incident,1,Possibly more verbal than physical .,AB02,,,
text125,incident,text125_incident,2,Bad language and insults .,AB02,,,
text125,incident,text125_incident,3,Possibly less extreme than those involving men .,AB12,,,
text125,perpetrator,text125_perpetrator,1,More outgoing / bold .,PE08,,,
text125,perpetrator,text125_perpetrator,2,Physically larger .,PE11,,,
text125,perpetrator,text125_perpetrator,4,Aggressive or unhinged .,"PE03, PE02",,,
text125,relationship,text125_relationship,1,Unstable .,RE01,,,
text125,relationship,text125_relationship,3,Unpleasant - ' walking on eggshells ' .,RE01,,,
text125,relationship,text125_relationship,4,One personal more dominant .,RE02,,,
text125,relationship,text125_relationship,6,Unequal .,RE02,,,
text125,victim,text125_victim,1,Shy or subdued .,VI05,,,
text125,victim,text125_victim,3,Smaller .,VI15,,,
text125,victim,text125_victim,5,Sad or depressed .,VI10,,,
text125,victim,text125_victim,6,Not likely to be social or have a good support network .,VI02,,,
text126,incident,text126_incident,1,Possibly,,,,
text126,perpetrator,text126_perpetrator,1,Mental healths issues Insecure Maniplative,"PE09, PE06, MA02",,,
text126,relationship,text126_relationship,1,Unstable,RE01,,,
text126,victim,text126_victim,1,Low self estime .,VI03,,,
text126,victim,text126_victim,2,Potential mental health issues,VI10,,,
text127,incident,text127_incident,1,"Unexpected , violent , aggressive verbally coerciceve , outbursts .","AB12, AB01, AB02, MA01, AB02",,,
text127,incident,text127_incident,2,Creates dependency and isolates partner from others,"DE01, CI04",,,
text127,perpetrator,text127_perpetrator,1,"Butch , overbearing controlling , violent , cowardly","GE08, CB01, PE07, PE06",,,
text127,relationship,text127_relationship,1,One dominant and makes the decisions .,RE02,,,
text127,relationship,text127_relationship,2,Other seks reassurance of her decisions before committing g,RE02,,,
text127,victim,text127_victim,1,"Passive , uncertain , outed late , little family support","VI05, VI05, GE07.2, VI02",,,
text128,incident,text128_incident,1,"Punches , scratches , burns , hair pulling , social media surveillance , phone location tracking","AB01, AB01, AB13, AB13, CB05, CB05",,,
text128,perpetrator,text128_perpetrator,1,"Older , earns the most money , jealous , insecure , hates women , critical ,","PE15, PE10, CB02, PE06, GE01, PE01",,,
text128,relationship,text128_relationship,1,"Someone likely cheated prior to DV , living together not married , no kids , or perpetrator has kids ,","RE11, RE09, CI04, CI05",,,
text128,victim,text128_victim,1,"Young , inexperienced , bi - sexual before lesbian , low income , no kids","VI14, VI06, GE07.2, CI02, CI04",,,
text129,incident,text129_incident,1,"Physical abuse ( hitting , restraint ) Emotional and psychological abuse","AB01, AB04, AB02",,,
text129,incident,text129_incident,2,Controlling behaviour,CB01,,,
text129,perpetrator,text129_perpetrator,1,Proud Lacking self confidence,"PE20, PE06",,,
text129,perpetrator,text129_perpetrator,2,Arrogant Scared of being alone,"PE20, PE06",,,
text129,perpetrator,text129_perpetrator,3,In denial,PE26,,,
text129,relationship,text129_relationship,1,Traditional partnership or married Mid or long term,"RE04, RE04",,,
text129,victim,text129_victim,1,Lacking self confidence Loyal,"VI03, VI28",,,
text129,victim,text129_victim,2,In denial Defensive Nervous Scared of being alone,"VI17, VI16, VI13, VI28",,,
text13,incident,text13_incident,1,"hitting , verbal","AB01, AB02",,,
text13,perpetrator,text13_perpetrator,1,female,,Exclusion.,e,
text13,relationship,text13_relationship,1,"relationship , married","RE04, RE04",,,
text13,victim,text13_victim,1,female partner,,Exclusion.,e,
text130,incident,text130_incident,1,"Office bullying , touching , cornering , following home .","AB02, AB03, AB04, AB02",,,
text130,perpetrator,text130_perpetrator,1,"Drunk , obsessed with that person , Her Boos and in order to give promotions the victim feels obliged to have a relationship with her .","CI01, CB09, RE08",,,
text130,relationship,text130_relationship,1,"Her boss , friends , one - night stand","RE08, RE08, RE07",,,
text130,victim,text130_victim,1,"Drunk , not a lesbian , not interested , angry , scared , bullied , scared , threatened , wrong signals","CI01, VI16, VI13, AB02, AB02, BL01",,,
text131,incident,text131_incident,1,no,,Exclusion,e,
text131,perpetrator,text131_perpetrator,1,unprofessional,,Exclusion,e,
text131,relationship,text131_relationship,1,unprofessional,,Exclusion,e,
text131,victim,text131_victim,1,scared,VI13,,,
text132,incident,text132_incident,1,"Mostly sexual , verbal or psychological Hard","AB03, AB02",,,
text132,incident,text132_incident,2,to tell if coerced / forced or not,AB12,,,
text132,perpetrator,text132_perpetrator,1,Masculine Physically and psychologically powerful Nonchalant Inconsiderate Insensitive,"GE08, PE11, PE16, PE05, PE01, PE01",,,
text132,relationship,text132_relationship,1,One partner more dominant,RE02,,,
text132,victim,text132_victim,1,Did n't do much to resist Did n't make rejection clear to the perpetrator Only causing a fuss about it later down the line because friends said it 's problematic behaviour Emotional,"VI05, BL01, AB12, VI18",,,
text133,incident,text133_incident,1,"Probably a lot of hair pulling , maybe potential sexual abuse .","AB13, AB03",,,
text133,incident,text133_incident,3,"Verbal abuse - threats , gaslighting , mean and nasty comments lowering the victim 's self esteem .","AB02, MA01",,,
text133,incident,text133_incident,4,Probably a lot of crying and trying to make amends after to downplay the incident .,MA05,,,
text133,perpetrator,text133_perpetrator,1,"A bigger , stronger perhaps more butch woman .","PE11, GE08",,,
text133,perpetrator,text133_perpetrator,3,"A more aggressive , opinionated or perhaps even working - class woman .","PE03, PE04, CI02",,,
text133,perpetrator,text133_perpetrator,4,May have tattoos or shorter hair perhaps or just seem a bit physically intimidating .,"GE08, PE11",,,
text133,relationship,text133_relationship,1,One where one partner tends to speak on behalf of the other - Quite contrasting appearances and tones of voices .,"RE02, RE02",,,
text133,victim,text133_victim,1,"A smaller , more girly and feminine woman .","VI15, GE05",,,
text133,victim,text133_victim,3,Shy and Friendly .,"VI05, VI09",,,
text133,victim,text133_victim,4,Highly emotional .,VI18,,,
text134,incident,text134_incident,1,If things got very rough there might be fighting and punching and shouting .,"AB01, AB01, AB02, ",,,
text134,perpetrator,text134_perpetrator,1,"Manipulative , trying to control things from behind the scenes so it is n't obvious , due to high emotions there may be violence .","MA02, MA06, AB01",,,
text134,relationship,text134_relationship,1,I think there would be a level of co - dependency and control between each other .,"DE02, CB07",,,
text134,relationship,text134_relationship,2,Possibly gaslighting and isolating the victim from friends and family to further establish control .,"MA01, CB04",,,
text134,victim,text134_victim,1,"Quiet , introverted , reserved , small body language","VI08, VI08, VI08, VI13",,,
text135,incident,text135_incident,1,' - controlling or physically violent towards partner,"CB01, AB01",,,
text135,perpetrator,text135_perpetrator,1,' - physically stronger / larger than partner - masculine presenting - dominant,"PE11, GE08, PE04",,,
text135,relationship,text135_relationship,1,' - unconventional - bohemian,GE02,,,
text135,victim,text135_victim,1,' - the physically smaller / weaker of the two partners - more feminine - submissive,"VI15, GE05, VI05",,,
text136,incident,text136_incident,1,Abuser lashes out in jealous rage â€™s when victim gets attention,CB02,,,
text136,perpetrator,text136_perpetrator,1,Very attractive More reserved Can be socially awkward,"PE21, PE19, PE13",,,
text136,relationship,text136_relationship,1,Attend a lot of events together for victims line of work Abuser is jealous,CB02,,,
text136,victim,text136_victim,1,Social butterfly Very attractive Smart,"VI19, VI21, VI22",,,
text137,incident,text137_incident,1,Shouting and Screaming .,AB02,,,
text137,incident,text137_incident,3,Things being broken .,AB05,,,
text137,incident,text137_incident,4,Mental head games .,AB02,,,
text137,incident,text137_incident,6,Gaslighting Victim Blaming .,"MA01, BL01",,,
text137,incident,text137_incident,8,Things being thrown Hitting with things .,"AB05, AB01",,,
text137,perpetrator,text137_perpetrator,1,Larger set individual .,PE11,,,
text137,perpetrator,text137_perpetrator,2,Short Hair .,GE08,,,
text137,perpetrator,text137_perpetrator,4,Butch .,GE08,,,
text137,perpetrator,text137_perpetrator,5,' Mouthy ' or ' Gobby ' as we would say .,PE01,,,
text137,perpetrator,text137_perpetrator,6,Loud when talking .,PE08,,,
text137,perpetrator,text137_perpetrator,8,Bossy .,PE04,,,
text137,relationship,text137_relationship,1,Victim has few friends .,VI02,,,
text137,relationship,text137_relationship,3,Victim is quiet Victim never goes out .,"VI08, VI02",,,
text137,relationship,text137_relationship,5,Victim is visually withdrawn Always shouting at each other .,"VI08, AB02",,,
text137,victim,text137_victim,1,Small in stature .,VI15,,,
text137,victim,text137_victim,2,Quiet Flinches .,"VI08, VI13",,,
text137,victim,text137_victim,4,Victim could be anyone .,,,,
text138,incident,text138_incident,1,"Physical violence , controlling behaviour , emotional abuse ,","AB01, CB01, AB02",,,
text138,perpetrator,text138_perpetrator,1,"Physically stronger , controlling , threatening , manipulative , promiscuous , manly ,","PE11, CB01, PE03, MA02, PE17, GE08",,,
text138,relationship,text138_relationship,1,"living together , unhappy ,","RE09, RE01",,,
text138,victim,text138_victim,1,"isolated from friends and family , no freedom , controlled , no opinions , nervous , worried , lying to friends and family , covering up for partner , making excuses","VI02, CB01, VI05, VI13, MA06",,,
text139,incident,text139_incident,1,Scratching Punches,"AB13, AB01",,,
text139,perpetrator,text139_perpetrator,1,Older Bigger Stronger Alcohol,"PE15, PE11, PE11, CI01",,,
text139,relationship,text139_relationship,1,Short - term enabling,RE06,,,
text139,victim,text139_victim,1,Younger,VI14,,,
text139,victim,text139_victim,2,Smaller Weaker,VI15,,,
text14,incident,text14_incident,1,Emotional abuse,AB02,,,
text14,perpetrator,text14_perpetrator,1,Controlling behind closed doors and a little controlling in public just to seem like a caring partner,"CB01, MA06",,,
text14,relationship,text14_relationship,1,Partners,RE04,,,
text14,victim,text14_victim,1,Bubbly in public makes excuses for any bruises,"VI19, MA06",,,
text140,incident,text140_incident,1,Very intense .,AB05,,,
text140,incident,text140_incident,2,Loud .,AB02,,,
text140,incident,text140_incident,3,Extreme anger .,RE01,,,
text140,perpetrator,text140_perpetrator,1,Aggressive .,PE03,,,
text140,perpetrator,text140_perpetrator,2,Loud and overpowering .,"PE08, PE04",,,
text140,perpetrator,text140_perpetrator,3,Out of control .,PE02,,,
text140,relationship,text140_relationship,1,Perpetrator dominant .,RE02,,,
text140,relationship,text140_relationship,2,Disconnected .,RE01,,,
text140,victim,text140_victim,1,Quiet .,VI08,,,
text140,victim,text140_victim,2,Defenceless .,VI13,,,
text140,victim,text140_victim,3,Scared to retaliate .,VI13,,,
text141,incident,text141_incident,1,"Hitting , hair pulling","AB01, AB13",,,
text141,perpetrator,text141_perpetrator,1,"Aggressive , masculine","PE03, GE08",,,
text141,relationship,text141_relationship,1,"Unbalanced , perpetrator takes more traditional male role in relationship","RE02, GE08",,,
text141,victim,text141_victim,1,"Quiet , submissive","VI08, VI05",,,
text142,incident,text142_incident,1,Gaslight Physical Emotional,"MA01, AB01, AB02",,,
text142,perpetrator,text142_perpetrator,1,Perfect partner at first Protective Confident,"MA04, CB02, PE20 ",,,
text142,relationship,text142_relationship,1,Look happy but odd bit of jealously over things,"MA06, CB02",,,
text142,relationship,text142_relationship,2,Always seem fun,MA06,,,
text142,victim,text142_victim,1,Happy Looks well Self sufficient,"VI08, VI21, VI16",,,
text143,incident,text143_incident,1,Emotional Physical,"AB02, AB01",,,
text143,perpetrator,text143_perpetrator,1,Controlling Insecure,"CB01, PE06",,,
text143,perpetrator,text143_perpetrator,2,Manipulative,MA02,,,
text143,relationship,text143_relationship,1,Mother Sister Partner,"RE10, RE04",,,
text143,victim,text143_victim,1,Looking for praise downtrodden Not very confident,"VI03, AB02, VI03",,,
text144,incident,text144_incident,1,"gradual , sexual violence ,","AB11, AB03",Confused. Combine with mf answers.,c,mf_combine
text144,perpetrator,text144_perpetrator,1,"male , angry , possessive , violent , strong","GE08, PE02, CB02, PE07, PE11",Confused. Combine with mf answers.,c,mf_combine
text144,relationship,text144_relationship,1,"toxic , male power , cheating","RE01, GE08, RE11",Confused. Combine with mf answers.,c,mf_combine
text144,victim,text144_victim,1,"female , weak , can leave","GE05, VI01, BL01",Confused. Combine with mf answers.,c,mf_combine
text145,incident,text145_incident,1,"Forcing the partner into sex they are not comfortable with , making them feels small and worthless so that that can do what they want with them .","AB03, AB02",,,
text145,incident,text145_incident,2,Leaving bruises on them by being rough but not in places that other people can see .,"AB06, MA06",,,
text145,perpetrator,text145_perpetrator,1,"A control freak , someone who likes to be have things done there way and be the dominant partner in the relationship .","CB01, PE04",,,
text145,relationship,text145_relationship,1,Seems normal on the outside and to friends and family but behind closed doors is very different where the perpetrator takes control and dominates the victim .,"MA06, CB01",,,
text145,victim,text145_victim,1,Someone who is desperate to find love and will choose any partner no matter who or what they are .,DE03,,,
text145,victim,text145_victim,2,Someone who is weak minded .,VI01,,,
text146,incident,text146_incident,1,"Perpetrator ridicules victim , pulls her hair , marks / scars her and tells victim that they are marks of ownership and she should be grateful that the perpetrator has done it to her","AB02, AB13, AB06, AB02",,,
text146,perpetrator,text146_perpetrator,1,"rough upbringing , no positive attention growing up , so behaved badly to get attention from family and people in authority .","PE09, PE06",,,
text146,relationship,text146_relationship,1,"volatile , perpetrator controls victim","RE01, CB01",,,
text146,victim,text146_victim,1,"middle child in a big family , often forgotten , tries hard to please people to get recognition",VI03,,,
text147,incident,text147_incident,1,Alarming .,,,,
text147,incident,text147_incident,2,A lack of respect .,AB02,,,
text147,perpetrator,text147_perpetrator,1,"controlling , dismissive , self - centred ,","CB01, PE01, PE05",,,
text147,relationship,text147_relationship,1,Not in align of perceived gay relationships .,,What does this mean?,,
text147,relationship,text147_relationship,2,A lack of remorse is shown by one partner .,AB02,,,
text147,relationship,text147_relationship,3,A lack of female remorse towards the same sex .,GE03,,,
text147,victim,text147_victim,1,"vulnerable , surprised , shock , guilt ,","VI01, VI17, VI17, VI04",,,
text148,incident,text148_incident,1,"Slapping , shouting , emotional abuse","AB01, AB02, AB02",,,
text148,perpetrator,text148_perpetrator,1,"Masculine , violent , harsh","GE08, PE07, PE01",,,
text148,relationship,text148_relationship,1,Friends,RE08,,,
