StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,UserLanguage,consent,mf_victim,mf_perpetrator,mf_relationship,mf_incident,mf_meta,fm_victim,fm_perpetrator,fm_relationship,fm_incident,fm_meta,mm_victim,mm_perpetrator,mm_relationship,mm_incident,mm_meta,ff_victim,ff_perpetrator,ff_relationship,ff_incident,ff_meta,gender,age,ethnicity,ethnicity_6_TEXT,sexual_orientation
07.02.2024 15:18,07.02.2024 15:41,100,1358,TRUE,07.02.2024 15:41,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Clear about wants and needs
Potential to have come from a broken family dynamic
Has many friends but few close connections
Potential to have been in a bad relationship prior to this one","Charismatic
Gets along well with everyone despite not having similar interests
Big ego
Presents themselves well
Is doing well in job
Often has a string of long term relationships that haven't worked out","Loving at first
May seem too good to be true
Outwardly very pleasant
Everyone think he is great
He does  ot want people to speak negatively about his relationship
He lies to make s
Things seems better than they are
People are aware something is not auite right","Sexual abuse both violent and Coercive
Manipulative- throws tantrums to get what they want
The power dynamic is obvious to not just the perpetrator 
Violent
Verbally abusive
Covert breaking down of aversion through comments",Not at all difficult,"Kind
Thoughtful
Can come across as not wearing the pants
More likely to be in a lower paid job or position
Often over compensates for providing for the abuser","Strong demeanor
Demanding
Often causes scenes in public
Praises partner in public but mnot in private
Asked of a lot from partner","Seemingly normal externally
Males friends might call the female names behind her back
She wears the pants
May be perceived that she looks after him","Likely to be physical and mental
Coercive and manipulative in terms of money or jobs
Female friends may describe it as a strong women scenario",Moderately difficult,"Weak seeming
 Nerdy?
Physically weaker
Not doing well socially","The strong man
Big charisma
Always up to no good
History of violence or crime","Often not seen as a valued relationship
Obvious power dynamic
One user one abuser
Not intended to be long lasting","Physical abuseand violence
Financial abuse
Sexual abuse",Difficult,"Often puts on a brave face
Does not want to be described as a victim
Brushes off incidents of abuse as just having a bad day
Does not speak out for fear of being told it is not abuse","Strong minded
Comes across organised
Happy to give advice to others
Has two different personalities
Blows small issues out of proportion","Can beseen a big and little relationship
Often occurs within families
More likely in siblings  
Often sibling rivalry is used an excuse
Can be excessively nasty but starts with bickering","Bullying verbally
Physical abuse violent episodes
Often abuse and be seen by others
Others don't intervene as it's not seen as threatening",Not at all difficult,Female,29,Other,Mixed race unknown,Heterosexual or Straight
07.02.2024 15:33,07.02.2024 15:45,100,678,TRUE,07.02.2024 15:45,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Helpless
Scared to speak up
Anxious
","Dominant
Aggressive
Confrontational
Fragile Masculinity ","Failing
Captive
Inescapable ","Alcohol involved
Masculinity threatened 
Great damage done",Slightly difficult,"Powerless
Embarrassed
Shameful","Manipulative 
Calculated
Overbearing","Emotionally manipulative 
Toxic
Intense","Verbal
Explosive
Agressive 
Built up over a long time",Slightly difficult,"Confrontational 
Helpless","Threatened 
Confrontational 
","Vanity
Forced
Toxic","Explosive
Spectacle",Very difficult,"Smaller
Confrontational","Larger
Easily provoked","Common disagreements with rare violence.
","Explosive and damaging to all involved, bring in others who are unrelated",Very difficult,Male,25,White,,Gay or Lesbian
07.02.2024 16:39,07.02.2024 16:46,100,444,TRUE,07.02.2024 16:46,EN,I have read and understood the above statement. I choose to participate voluntarily.,"quite housewife
home maker
looks after the family","working hard
aggressive
dominating drinker","loving relationship
conflict over money",flare ups over finances,Slightly difficult,"soft man, quiet
subordinate
unemployed","busy female
hectic life
regrets life choices","female regretting getting with partner
","female frustrated at male 
flare ups over money
relationship not healthy",Slightly difficult,"quiet
introverted
shy","bullish, loud and brash
arrogant","perpertrator in charge, makes all decisions
victim, quiet subordinate, goes along","flare ups, when victim disagrees",Moderately difficult,"soft and quiet
caring
gentle","aggressive
loud
dominating","one person dominating the other,
caring relationshop
","aggression towards victim
incited by conflict",Moderately difficult,Male,48,White,,Heterosexual or Straight
07.02.2024 16:41,07.02.2024 16:49,100,502,TRUE,07.02.2024 16:49,EN,I have read and understood the above statement. I choose to participate voluntarily.,"scared/anxious
timid
sad
in need of help","disgusting
pathetic
scumbag
in need of punishment","violent
abusive
traumatic","physical abuse
verbal abuse
sexual abuse",Slightly difficult,"weak
""not a man""
some people say shit like ""wow what a lucky guy""
unfairly dismissed","a strong woman
""she wears the pants in the relationship""
abusive","""organised""
violent abuse gets dismissed due to gender","violent abuse
verbal/emotional/psychological abuse",Very difficult,"weak
pathetic
sad/afraid","""alpha""
violent/abusive
manipulative","traumatic and stressful
bouts of violence
","sexual abuse
physical abuse
emotional abuse
verbal abuse
etc",Difficult,"scared
punished for being gay
afraid/timid etc","used as anti lgbt propaganda
violent
manipulative","violent/abusive
up and down
intense love and intense hate
shouldnt be together","physical abuse
emotional/verbal abuse
sexual abuse",Moderately difficult,Female,33,White,,Bisexual
07.02.2024 16:44,07.02.2024 16:50,100,357,TRUE,07.02.2024 16:50,EN,I have read and understood the above statement. I choose to participate voluntarily.,Woman usally,usually the man,"married, long term relationship","physical, verbal",Difficult,"male, rare, embarrassed","female,unusual","married, relationship","hitting, shouting, belittling ",Difficult,male husband partner,"male husband or partner, unusual","married, long term",quite a lot i think as both male,Difficult,female partner,female,"relationship, married","hitting, verbal",Difficult,Female,42,White,,Heterosexual or Straight
07.02.2024 16:39,07.02.2024 16:50,100,663,TRUE,07.02.2024 16:50,EN,I have read and understood the above statement. I choose to participate voluntarily.,Quiet at home and laughs in public ,"Dominant, ‘caring husband’ but horrid at home ",Husband and wife ,"Sexual, physical ",Slightly difficult,Quiet,Friendly in public. ,A couple ,Pushed down the stairs ,Very difficult,Alone,Friendly ,Friends ,Taking pranks too far ,Very difficult,Bubbly in public makes excuses for any bruises ,Controlling behind closed doors and a little controlling in public just to seem like a caring partner ,Partners,Emotional abuse ,Moderately difficult,Female,21,White,,Heterosexual or Straight
07.02.2024 16:44,07.02.2024 16:51,100,455,TRUE,07.02.2024 16:51,EN,I have read and understood the above statement. I choose to participate voluntarily.,"timid, weak, vulnerable, unconfident","bully, cruel, charming, nasty","unbalanced, one sided, needed","pushing, slap, shoving",Not at all difficult,"shy, quiet, ","loud, bossy, bully","straight, unbalanced","pushing, shoving, biting,",Slightly difficult,"unconfident, unsure of themselves, cut off from friends and family","conifdent, loud, charming, assertive",gay,"punching, breaking items of the other persons",Slightly difficult,"timid, friendly","bullying, aggressive, jealous",gay,"slapping, punching, tearing up clothes",Not at all difficult,Female,44,Other,black british,Heterosexual or Straight
07.02.2024 16:46,07.02.2024 16:51,100,331,TRUE,07.02.2024 16:51,EN,I have read and understood the above statement. I choose to participate voluntarily.,Possible narsssic tendencies what people outside don’t see from the female male possible victom,Female more controlling if the male ,Controlled more by woman possible,Woman is very emotional might mask controlling behaviour ,Moderately difficult,It’s always the women who is the victim ,Males are stereotypes for their aggression dominance ,Male over female ,Psychological more than physical ,Moderately difficult,Don’t always think males are the victim stereotype ,Makes it look more like an argument than two males haveing domestic abuse ,Unequal,Control over most every day things disguised as helping,Moderately difficult,Both,Both possibly,Unequal power struggles?,Controlling behaviour re wedding ,Moderately difficult,Female,42,White,,Heterosexual or Straight
07.02.2024 16:49,07.02.2024 16:53,100,234,TRUE,07.02.2024 16:53,EN,I have read and understood the above statement. I choose to participate voluntarily.,Young female ,Male ,Partners ,Physical abuse and harrassment,Not at all difficult,Mental health issues ,Family man ,Affair ,"Manipulation, harassment, verbal abuse ",Difficult,Boy ,Man ,Father ,Manipulation ,Slightly difficult,Young female ,Middle aged woman ,Relationship ,Physical/verbal violence ,Moderately difficult,Female,25,White,,Heterosexual or Straight
07.02.2024 16:47,07.02.2024 16:53,100,353,TRUE,07.02.2024 16:53,EN,I have read and understood the above statement. I choose to participate voluntarily.,Scared,Manipulative ,Romantic couple ,"Controlling, abusive physically and emotionally ",Slightly difficult,Weak,Manipulative,Partners romantically,"Shouting 
Pushing
Hittinf",Slightly difficult,Scared,Manipulative,Friends,Physical violence ,Moderately difficult,Scared,Controlling ,Friends ,Hurting ,Difficult,Female,27,Other,Mixed ,Heterosexual or Straight
07.02.2024 16:43,07.02.2024 16:53,100,575,TRUE,07.02.2024 16:53,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Young pretty woman around early 20's, white and blonde hair",Asian man late 40's overweight and a smoker,"Strangers, likely met earlier in a club where she wasn't interested in his advances","He follows her home after she leaves the club, and tries to assault her",Moderately difficult,"Young attractive man, most likely physically fit and muscular. Quite confident","Older woman, doesn't realise their is a large age gap between her and the victim, overweight likes being loud and center of attention",Possibly the victim is a server/waiter,"Perpertraitor sexually assaults younger man, she probablyis drunk and thinks it's funny, and because its a woman groping a man, it's more acceptable",Not at all difficult,Man in his 20's,Man in his 30's,Mutual friends,"The older male assaults the younger male, both are drunk, most likely done as a show of dominance",Difficult,"Timid, shy, short in height, wears glasses","Older, tall, has money, dark hair colour",Boss at work,"Redicule, bordering harassment, likely dtems from jealousy",Slightly difficult,Male,31,White,,Gay or Lesbian
07.02.2024 16:43,07.02.2024 16:53,100,610,TRUE,07.02.2024 16:53,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Scared to leave, loves them too much to leave","Controlling, aggressive, shouts ",Toxic ,"Hitting, grabbing ",Moderately difficult,"Weak, defenceless because he would get in trouble if he hit back for example, ","Psycho, dominant ",Toxic,"Hitting, throwing",Slightly difficult,Scared and weak,"Controlling, alter ego",Toxic,Hitting and throwing ,Slightly difficult,Scared and angry ,"Bitchy, controlling",Toxic,"Hitting, hair pulling",Moderately difficult,Female,22,White,,Heterosexual or Straight
07.02.2024 16:46,07.02.2024 16:53,100,450,TRUE,07.02.2024 16:53,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Quiet
Meek
Scared
Weak
Stepping on eggshells
Submissive ","Angry 
Dominating 
Loud 
Unreasonable 
Explosive ","Volatile 
Very high highs and low lows ","Physical abuse 
Hiding from friends and family 
Apologies until next time 
Threats 
Coercion 
Broken promises 
",Not at all difficult,"Ashamed 
Frightened 
Emasculated 
Belittled 
Picked apart 
Upset 
Trapped 
Keeping secrets ","Angry 
Loud
Unreasonable 
Sorry 
Upset 
","Volatile 
Constant blow ups 
","Belittling 
Arguing
Making excuses 
Physical ",Moderately difficult,"Ashamed 
Frightened 
Treading on eggshells
Emasculated ","Angry
Loud
Large 
Aggressive ","Volatile
Unstable ","Very physical
Overpowering ",Moderately difficult,"Upset
On edge 
Ashamed 
","Angry 
Loud
Volatile ","Difficult 
Volatile ","In secret 
Death by 1000 cuts ",Moderately difficult,Female,40,White,,Heterosexual or Straight
07.02.2024 16:41,07.02.2024 16:54,100,743,TRUE,07.02.2024 16:54,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Quiet timid female. 
No friends and tends to keep herself to herself. 
Low self confidence. ","Aggresive.
Inflated male ego.
Believes men are superior to women. ","Controlled by the male. 
Female has no identity of her own, nor a say in anything. ","Physical, sexual and mental abuse. 
Financial abuse too where the female has no control over her finances/the finances to escape the relationship. ",Slightly difficult,"Feels inmasculine. 
Low self esteem, depressed and quiet. 
May put on a brave face to friends/family/work colleagues.  
","Controlling and emotionally manipulative.
Obsessive and always watching the victims every move. 
Insecure themselves. ","Toxic.
Constant arguments, bullying behaviour by the perpetrator.
Belittling comments, knocking the victims confidence. ","Constant arguments and belittling comments. 
Mentally abusive. 
Occasions of physical abuse too. ",Moderately difficult,"Timid and quiet person. 
Introvert.","Aggressive. 
Big male ego. ","Physically abusive. 
Unhappy. ",Physical abuse mainly. ,Very difficult,"Low self confidence.
Often struggles to speak for themselves. 
Introverted.","Dominating. 
Aggressive. 
Controlling and obsessive about the partner.
Jealous.","Intense relationship. 
Spend a lot of time together. 
Very passionate at the beginning and the relationship moved quickly. ","Physical and emotional abuse.
Controlling and jealous behaviour.",Difficult,Female,31,White,,Heterosexual or Straight
07.02.2024 16:47,07.02.2024 16:54,100,408,TRUE,07.02.2024 16:54,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Weak
Innocent
Depressed","Strong
Agressive
Violent
Large","Male dominated
Violent
Anti social","Punching
Kicking
",Slightly difficult,"Bossy
Aggressive
","Weak
Unmanly
Pathetic","Not a strong one
Female dominated","Slapping
Pushing",Difficult,"Weak
Small
Unassuming","Aggressive
Dominant
Alpha male","One sided
Volatile","Punching
Kicking
Rape",Difficult,"Aggressive
Strong
Dominant","Weak
",Unsocial,"Punching
Kicking",Very difficult,Female,36,White,,Heterosexual or Straight
07.02.2024 16:44,07.02.2024 16:54,100,573,TRUE,07.02.2024 16:54,EN,I have read and understood the above statement. I choose to participate voluntarily.,"nervous 
stressed and anxious most of the time 
untrusting of others ","confident
arrogant 
jealous 
cocky 
demanding ",partners or married ,"physical violence against the vitcim, hitting, punching 
witholding items or refusing to let victim leave the house 
sexual violence against the victims will 
mental abuse - gas lighting or putting victim down ",Not at all difficult,"on edge, frightened 
tense most of the time 
axious ","confident 
arrogant 
jealous 
prone to gas lighting 
insecure - threaten self harm if partner leaves ",married or partners ,"
violent outburst resulting in physical injuries 
taking away of personal items to restrict access to outside world 
refusing to let them leave ",Not at all difficult,"nervous disposition
tense and anxious 
constantly worried and stressed 
doesn't trust others 
","Confident 
jealous other any other relationship that the victim might have 
controlling 
arrogant 
persuasive 
gaslighter ",partners or married ,"Mental abuse - instances of gas lighting or putting the victim down 
Physical abuse like violence 
withholding personal items from victim 
screaming and shouting 
sexual related violence against the victims will. ",Not at all difficult,The same as the other answers  - this is no different ,The same as the other answers - this is no different. ,The same as the other answers - this is no different. ,"the same as M/F and M/M responses, physical violence resulting in injury, sexual violence ",Not at all difficult,Female,42,White,,Heterosexual or Straight
07.02.2024 16:43,07.02.2024 16:54,100,671,TRUE,07.02.2024 16:54,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Should leave
Shouldn’t put up with abuse
Isolated
Walking on eggshells 
","Controlling
Jealous
Aggressive
Makes demands 
Unfair expectations ","Man in charge
Woman may not be allowed to work, go out, have friends.
Man thinks he has more rights ","So many 
Physical, emotional, sexual abuse.
Hitting, slapping, damaging items
Abuse may not always be violent ",Not at all difficult,"Not strong enough
Too passive
Should retaliate","Aggressive
Man hater?
","She makes all the major decisions
No equality

","Hitting
Throwing things",Slightly difficult,"Less than a man
Weak ","Strong
Controlling
","Less equal
","Hitting, pushing, breaking things, sexual abuse ",Slightly difficult,"Passive
","Aggressive
Demanding
Controlling","Not equal
Not healthy 
Maybe one is more dominant in a traditional make time ","Hitting, breaking things, ",Moderately difficult,Female,49,White,,Heterosexual or Straight
07.02.2024 16:43,07.02.2024 16:54,100,681,TRUE,07.02.2024 16:54,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Weak
Physically diminutive 
Accepting
Feels responsible
Non blaming
Forginving ","Dominant
Controlling
Angry and volatile 
Short temper
Violent ","Unequal
Living in fear
Emotional abuse 
Coercive control","Beating
Hitting 
Punching 
Psychological abuse ",Slightly difficult,"Shy
Weak
Unable to stand up for self
Easily intimidated 
Threatened 
Calm and gentle","Narsicustic 
Controlling
Emotionally manipulative
Volatile
Easily angered ","Controlled
Manipulated 
Unbalanced 
Unequal
Co-erosive control
Fear ","Hitting
Injuries to body
Emotional damaged
Threatening or manipulative words ",Moderately difficult,"Easy going 
Weak in mind and body
Insecure
Scared ","Violent
Angry 
Controlling
Insecure 
Threatening ","Volatile
Co erosive control
Manipulative ","Hitting 
Punching
Bruising 
Emotional and psychological abuse ",Slightly difficult,"Weak
Vulnerable
Unconfident 
Emotionally dependant 
Financially dependant ","Controlling 
Dominant 
Phycologically abuse and Co erosive control
Angry 
Jealous
Paranoid 
Feeling threatened ","Volatile
Passive aggressive 
Controlling 
Violent
","Psychological abuse and manipulation
Hitting
Bruising
Beating ",Slightly difficult,Female,44,White,,Heterosexual or Straight
07.02.2024 16:43,07.02.2024 16:54,100,649,TRUE,07.02.2024 16:54,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Scared
Frightened
Trapped","Manipulative 
Controlling
Strong
Nasty","Secretive
Volatile","Hitting
Controlling behaviour",Slightly difficult,"Ashamed
Loyal
Quiet
Loving","Manipulative 
Domineering
Outgoing
Independent","Volatile 
Dysfunctional","Throwing things
Hitting
Manipulation ",Slightly difficult,"Scared 
Weak
Ashamed","Manipulative
Aggressive
Controlling
Evil","Dysfunctional 
Secretive","Hitting 
Fighting",Slightly difficult,"Loyal
Loving","Manipulative 
Controlling","Volatile 
Fiery","Throwing things
Coercion 
Manipulation ",Moderately difficult,Female,41,White,,Heterosexual or Straight
07.02.2024 16:44,07.02.2024 16:54,100,610,TRUE,07.02.2024 16:54,EN,I have read and understood the above statement. I choose to participate voluntarily.,"Quiet
Unwilling to speak up/stand up
Little support
Willingly staying
Thinks he can change
","Aggressive
Heterosexual
Older
Rich & powerful or poor & insecure
Drugs
","Unhealthy
Long relationship
Live together
Married
Kids","Sexual abuse
Sexual coercion
Physical abuse
Controlling behaviour",Not at all difficult,"Quiet
Gentle
Should be able to fight back
","Loud
Confident
Mean
Popular
Attractive","Long term
Married
Live together","Physical abuse
Verbal abuse
Controlling behaviour",Slightly difficult,"Physically smaller
Weaker
More gentle
The 'woman' in the relationship","Physically larger
Stronger
More aggressive","Unhealthy
Fear from victim partner
New relationship","Physical abuse
Sexual abuse
Sexual coercion
",Slightly difficult,"Smaller
Quiet
More feminine","Larger
More masculine
Tattoos
Butch
'Man' in the relationship","Established relationship
Could be fixed
","Physical abuse
Verbal abuse
Controlling behaviour",Slightly difficult,Male,19,White,,Gay or Lesbian
